Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Spotify Link,Song Image,Spotify URI,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature,Lyrics,Release Year
What I've Done,Minutes to Midnight,2007-05-14,['Linkin Park'],"['nu metal', 'post-grunge', 'alternative metal', 'rock', 'rap metal']",2007,38,205613,https://open.spotify.com/track/18lR4BzEs7e3qzc0KVkTpU,https://i.scdn.co/image/ab67616d00001e0246e207de66ba06422897f769,spotify:track:18lR4BzEs7e3qzc0KVkTpU,82,0.0141,0.623,0.93,1.64E-06,0.138,-5.285,0.0324,120.119,0.287,5,1,4,,2007.0
Summer Love,FutureSex/LoveSounds,2006-09-12,['Justin Timberlake'],"['dance pop', 'pop']",2007,39,252973,https://open.spotify.com/track/1MBM7CyZbwJpVbbZJnHHRg,https://i.scdn.co/image/ab67616d00001e02c6ba98fd3f3b396a6c6f7091,spotify:track:1MBM7CyZbwJpVbbZJnHHRg,70,0.0756,0.606,0.591,0.0,0.328,-7.228,0.087,95.802,0.477,0,0,4,,2006.0
You,Street Love,2007-01-01,"['Lloyd', 'Lil Wayne']","['southern hip hop', 'urban contemporary', 'rap', 'new orleans rap', 'trap', 'hip hop', 'pop rap', 'r&b']",2007,40,273133,https://open.spotify.com/track/5Y77SQxEr1eiofPeUTPHxM,https://i.scdn.co/image/ab67616d00001e02eec376776dc8377060f2be5c,spotify:track:5Y77SQxEr1eiofPeUTPHxM,74,0.102,0.412,0.876,0.0,0.297,-6.008,0.47,130.159,0.703,5,0,5,,2007.0
Wait for You,Elliott Yamin,2007-03-23,['Elliott Yamin'],['idol'],2007,41,261320,https://open.spotify.com/track/0U969xYNlAyfzi8P1TaO7u,https://i.scdn.co/image/ab67616d00001e029fdd7d1b6b208937157ee182,spotify:track:0U969xYNlAyfzi8P1TaO7u,60,0.25,0.764,0.487,0.0,0.184,-6.734,0.0281,116.027,0.352,0,1,4,,2007.0
Last Night (feat. Keyshia Cole),Press Play,2006-10-16,"['Diddy Featuring Keyshia Cole', 'Keyshia Cole']","['hip pop', 'urban contemporary', 'r&b']",2007,42,386146,https://open.spotify.com/track/61u8YHgwacXM9Sm5JOblkp,https://i.scdn.co/image/ab67616d00001e02debba11925fe97c1843a7987,spotify:track:61u8YHgwacXM9Sm5JOblkp,38,0.259,0.896,0.844,0.00121,0.203,-4.231,0.1,120.997,0.962,3,0,4,,2006.0
Make It Rain,"Me, Myself & I",2006-11-14,"['Fat Joe', 'Lil Wayne']","['gangster rap', 'east coast hip hop', 'hardcore hip hop', 'rap', 'dirty south rap', 'new orleans rap', 'trap', 'bronx hip hop', 'hip hop', 'pop rap']",2007,43,247413,https://open.spotify.com/track/4JPCdSaqs9dJd7RatFSHww,https://i.scdn.co/image/ab67616d00001e02325d6857d7b1ddfed62e7f0d,spotify:track:4JPCdSaqs9dJd7RatFSHww,62,0.0106,0.744,0.697,0.0,0.0842,-5.063,0.197,149.28,0.767,11,0,4,,2006.0
Make Me Better,From Nothin' To Somethin' (Bonus Track Version),2007-01-01,"['Fabolous', 'Ne-Yo']","['gangster rap', 'dance pop', 'urban contemporary', 'rap', 'trap', 'pop', 'hip hop', 'pop rap', 'r&b']",2007,44,253573,https://open.spotify.com/track/0YkJU6TjjwzsVXUPRIO0DB,https://i.scdn.co/image/ab67616d00001e020257cdc367bb5b3f41eb949f,spotify:track:0YkJU6TjjwzsVXUPRIO0DB,62,0.33,0.607,0.599,0.0,0.199,-6.886,0.0995,86.491,0.562,11,1,4,,2007.0
Ice Box,21,2006-12-26,['Omarion'],"['hip pop', 'dance pop', 'southern hip hop', 'urban contemporary', 'rap', 'trap', 'r&b']",2007,45,256426,https://open.spotify.com/track/5qhlC4Rzals34zxovrPzKp,https://i.scdn.co/image/ab67616d00001e02e46949ba98bda55f555941b3,spotify:track:5qhlC4Rzals34zxovrPzKp,61,0.189,0.775,0.731,0.0,0.129,-5.446,0.134,131.105,0.821,8,1,4,,2006.0
Lips Of An Angel,Extreme Behavior,2005-01-01,['Hinder'],"['post-grunge', 'alternative metal', 'nu metal']",2007,46,261853,https://open.spotify.com/track/40LQiUUUKXVGyNs09lHVjW,https://i.scdn.co/image/ab67616d00001e02395bf2151b99ef7f8b3116b5,spotify:track:40LQiUUUKXVGyNs09lHVjW,74,0.0217,0.476,0.736,1.08E-06,0.203,-5.38,0.0343,129.084,0.251,2,1,4,,2005.0
Waiting On the World to Change,Continuum,2006-09-11,['John Mayer'],"['neo mellow', 'singer-songwriter']",2007,47,201173,https://open.spotify.com/track/5imShWWzwqfAJ9gXFpGAQh,https://i.scdn.co/image/ab67616d00001e027af5fdc5ef048a68db62b85f,spotify:track:5imShWWzwqfAJ9gXFpGAQh,75,0.157,0.578,0.756,0.000232,0.249,-5.82,0.115,176.739,0.663,2,1,4,,2006.0
Lost Without U,The Evolution of Robin Thicke,2006-01-01,['Robin Thicke'],"['dance pop', 'urban contemporary', 'pop rap', 'neo soul', 'r&b']",2007,48,254146,https://open.spotify.com/track/4V2F0DZrAXOWq9hkwMMG3x,https://i.scdn.co/image/ab67616d00001e02bc017391cc42cbc90dc02d5b,spotify:track:4V2F0DZrAXOWq9hkwMMG3x,65,0.226,0.664,0.351,2.38E-06,0.106,-12.136,0.118,113.204,0.816,0,1,5,,2006.0
I'm A Flirt,R. Kelly Smooth Jazz Tribute,2007-08-28,['Smooth Jazz All Stars'],['relaxative'],2007,49,260560,https://open.spotify.com/track/34FgtfjZgwCAr9qAtdZEl4,https://i.scdn.co/image/ab67616d00001e021826cac9981a3b329bebea13,spotify:track:34FgtfjZgwCAr9qAtdZEl4,15,0.101,0.828,0.498,0.162,0.084,-7.243,0.0512,137.926,0.51,7,1,4,,2007.0
If Everyone Cared,All the Right Reasons (Special Edition),2005-09-26,['Nickelback'],"['post-grunge', 'alternative metal', 'canadian rock']",2007,50,218013,https://open.spotify.com/track/44w63XqGr3sATAzOnOySgF,https://i.scdn.co/image/ab67616d00001e02105db7f723f33d9273fbf4d8,spotify:track:44w63XqGr3sATAzOnOySgF,60,0.000246,0.519,0.85,0.014,0.279,-4.678,0.0354,132.022,0.211,6,0,4,,2005.0
Get It Shawty,Street Love,2007-01-01,['Lloyd'],"['southern hip hop', 'trap', 'urban contemporary', 'r&b']",2007,51,209533,https://open.spotify.com/track/2a03afRiyAbNAleOByVju4,https://i.scdn.co/image/ab67616d00001e02eec376776dc8377060f2be5c,spotify:track:2a03afRiyAbNAleOByVju4,65,0.123,0.822,0.905,0.0,0.0496,-4.032,0.241,128.014,0.674,5,0,4,,2007.0
Face Down,Don't You Fake It,2006-01-01,['The Red Jumpsuit Apparatus'],"['screamo', 'pop punk', 'alternative metal', 'post-grunge', 'neon pop punk']",2007,52,192000,https://open.spotify.com/track/4wzjNqjKAKDU82e8uMhzmr,https://i.scdn.co/image/ab67616d00001e02f98edbc89407338a90437d34,spotify:track:4wzjNqjKAKDU82e8uMhzmr,77,0.000665,0.545,0.932,0.0,0.127,-2.189,0.0399,92.956,0.464,7,0,4,,2006.0
The Way I Live - Main Explicit,Across The Water,2006-01-01,"['Baby Boy Da Prince', 'Boosie Badazz']","['baton rouge rap', 'southern hip hop', 'memphis hip hop', 'dirty south rap', 'trap']",2007,53,324906,https://open.spotify.com/track/68Zq7PMcPIQE8ol1x3gAqw,https://i.scdn.co/image/ab67616d00001e027d3d648019f25dee60804ec0,spotify:track:68Zq7PMcPIQE8ol1x3gAqw,59,0.0147,0.88,0.438,0.0,0.0907,-7.562,0.248,90.02,0.714,0,1,4,,2006.0
Shortie Like Mine (feat. Chris Brown & Johntá Austin),The Price Of Fame,2006-12-18,"['Bow Wow', 'Chris Brown', 'Johnta Austin']","['hip pop', 'dance pop', 'southern hip hop', 'urban contemporary', 'rap', 'dirty south rap', 'trap', 'pop rap', 'r&b']",2007,54,268066,https://open.spotify.com/track/6oUGAx0vkBcnGzYkvw0ZsA,https://i.scdn.co/image/ab67616d00001e021a16a162f671e39c206dd3ef,spotify:track:6oUGAx0vkBcnGzYkvw0ZsA,64,0.0745,0.758,0.642,0.0,0.191,-8.128,0.221,142.078,0.701,7,0,4,,2006.0
It Ends Tonight,Move Along,2005-01-01,['The All-American Rejects'],"['neo mellow', 'pop punk', 'alternative metal', 'post-grunge', 'neon pop punk', 'pop rock', 'modern rock']",2007,55,244826,https://open.spotify.com/track/1FMHNVeJ9s1x1l1WlaRs2I,https://i.scdn.co/image/ab67616d00001e02aaf8c068ffe217db825a1945,spotify:track:1FMHNVeJ9s1x1l1WlaRs2I,61,0.00228,0.454,0.636,0.0,0.154,-4.731,0.0273,87.89,0.313,0,1,4,,2005.0
A Bay Bay - Single Version,A Bay Bay,2007-06-19,['Hurricane Chris'],['dirty south rap'],2007,56,257120,https://open.spotify.com/track/2oWbOh3tLluqTdYL5OEDvs,https://i.scdn.co/image/ab67616d00001e0203151085858f5a5d07042dd0,spotify:track:2oWbOh3tLluqTdYL5OEDvs,53,0.105,0.577,0.668,0.0,0.0924,-4.884,0.514,60.709,0.702,6,1,3,,2007.0
Because Of You,Because Of You,2007-01-01,['Ne-Yo'],"['urban contemporary', 'dance pop', 'pop', 'r&b']",2007,57,266840,https://open.spotify.com/track/6CFPFnS9EcLs2I0nWqtWci,https://i.scdn.co/image/ab67616d00001e02ec4f8c81eb9ddee00e01798d,spotify:track:6CFPFnS9EcLs2I0nWqtWci,76,0.528,0.81,0.538,0.0,0.0951,-5.784,0.0356,109.97,0.828,0,0,4,,2007.0
I Tried,Strength & Loyalty,,"['Bone Thugs-N-Harmony', 'Akon']","['gangster rap', 'dance pop', 'hardcore hip hop', 'rap', 'ohio hip hop', 'hip hop']",2007,58,287480,https://open.spotify.com/track/2elA6JLRaQ6iB7hxiuTKN4,https://i.scdn.co/image/ab67616d00001e020c078eab10f525a0bd0eb6b3,spotify:track:2elA6JLRaQ6iB7hxiuTKN4,62,0.0104,0.727,0.71,0.0,0.107,-6.142,0.0742,81.995,0.378,4,1,4,,
